name,icaoCode,iataCode,country
"AERO-DIENST GMBH","???","",""
"AEROHELI GMBH","???","",""
"AIR ADRIATIC D.O.O.","???","",""
"AIR CHARTER SCOTLAND","???","",""
"CAMEX AIRLINES LLC","???","",""
"DELIĆ AIR DOO","???","",""
"EURO LINK GMBH","???","",""
"FLEET AIR INTERNATIONAL","???","",""
"FLY DUBAI","???","",""
"FLYTEAM KFT.","???","",""
"GAS AVIATION DOO","???","",""
"HELIKOPTERSKA JEDINICA MUP-A RS","???","",""
"HELIMASTER","???","",""
"JET EXECUTIVE INTERNATIONAL CHARTER","???","",""
"LUMIWINGS","???","",""
"MAGLENTA ENTERPRISES INC","???","",""
"MINISTARSTVO ODBRANE SLOVENIJE","???","",""
"NTS","???","",""
"OSTALA SLIJETANJA","???","",""
"PINK SPARROW","???","",""
"REDOVNI PROMET","???","",""
"ROYAL AIR AB","???","",""
"SAŠA NIKITOVIĆ","???","",""
"SMATSA LLC","???","",""
"SOS AIR","???","",""
"TATRAJET S.R.O.","???","",""
"THOMAS MEUSBURGER","???","",""
"TRANSAVIA FLUGGESELLSCHAFT","???","",""
"TUI AIRWAYS LTD","???","",""
"TYROL AIR AMBULANCE","???","",""
"UKUPNO","???","",""
"US ARMY","???","",""
"VANREDNI PROMET","???","",""
"WIZZ AIR HUNGARY LTD","???","",""
"WIZZAIR HUNGARY LTD","???","",""
"WIZZAIR MALTA","???","",""
