Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-08-01,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-08-01,Arrival,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-01,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-01,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-01,Departure,AYT,Antalya,10:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-01,Departure,SAW,Istanbul,10:10,Pegasus Airlines,PC
2025-08-01,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-08-01,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-01,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-08-01,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-01,Arrival,VIE,Vienna,21:05,Wizz Air,W6
2025-08-01,Departure,VIE,Vienna,21:40,Wizz Air,W6
2025-08-02,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-02,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-02,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-08-02,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-08-02,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-02,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-03,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-03,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-03,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-03,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-03,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-08-03,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-08-04,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-04,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-04,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-04,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-04,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-04,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-04,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-08-04,Departure,SAW,Istanbul,14:35,A Jet Airlines,VF
2025-08-05,Arrival,AYT,Antalya,08:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-05,Departure,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-05,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-08-05,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-08-05,Arrival,AYT,Antalya,10:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-08-05,Departure,AYT,Antalya,11:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-08-05,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-05,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-06,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-06,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-06,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-06,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-06,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-06,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-06,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-08-06,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-08-07,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-07,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-07,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-07,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-08,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-08-08,Arrival,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-08,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-08,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-08,Departure,AYT,Antalya,10:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-08,Departure,SAW,Istanbul,10:10,Pegasus Airlines,PC
2025-08-08,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-08-08,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-08,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-08-08,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-08,Arrival,VIE,Vienna,21:05,Wizz Air,W6
2025-08-08,Departure,VIE,Vienna,21:40,Wizz Air,W6
2025-08-09,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-09,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-09,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-08-09,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-08-09,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-09,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-10,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-10,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-10,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-10,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-10,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-08-10,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-08-11,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-11,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-11,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-11,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-11,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-11,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-11,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-08-11,Departure,SAW,Istanbul,14:35,A Jet Airlines,VF
2025-08-12,Arrival,AYT,Antalya,08:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-12,Departure,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-12,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-08-12,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-08-12,Arrival,AYT,Antalya,10:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-08-12,Departure,AYT,Antalya,11:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-08-12,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-12,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-13,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-13,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-13,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-13,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-13,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-13,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-13,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-08-13,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-08-14,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-14,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-14,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-14,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-15,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-08-15,Arrival,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-15,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-15,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-15,Departure,AYT,Antalya,10:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-15,Departure,SAW,Istanbul,10:10,Pegasus Airlines,PC
2025-08-15,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-08-15,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-15,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-08-15,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-15,Arrival,VIE,Vienna,21:05,Wizz Air,W6
2025-08-15,Departure,VIE,Vienna,21:40,Wizz Air,W6
2025-08-16,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-16,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-16,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-08-16,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-08-16,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-16,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-17,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-17,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-17,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-17,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-17,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-08-17,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-08-18,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-18,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-18,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-18,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-18,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-18,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-18,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-08-18,Departure,SAW,Istanbul,14:35,A Jet Airlines,VF
2025-08-19,Arrival,AYT,Antalya,08:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-19,Departure,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-19,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-08-19,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-08-19,Arrival,AYT,Antalya,10:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-08-19,Departure,AYT,Antalya,11:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-08-19,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-19,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-20,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-20,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-20,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-20,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-20,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-20,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-20,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-08-20,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-08-21,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-21,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-21,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-21,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-22,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-08-22,Arrival,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-22,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-22,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-22,Departure,AYT,Antalya,10:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-22,Departure,SAW,Istanbul,10:10,Pegasus Airlines,PC
2025-08-22,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-08-22,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-22,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-08-22,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-22,Arrival,VIE,Vienna,21:05,Wizz Air,W6
2025-08-22,Departure,VIE,Vienna,21:40,Wizz Air,W6
2025-08-23,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-23,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-23,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-08-23,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-08-23,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-23,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-24,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-24,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-24,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-24,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-24,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-08-24,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-08-25,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-25,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-25,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-25,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-25,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-25,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-25,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-08-25,Departure,SAW,Istanbul,14:35,A Jet Airlines,VF
2025-08-26,Arrival,AYT,Antalya,08:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-26,Departure,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-08-26,Arrival,MLH,Basel,10:25,Wizz Air,W6
2025-08-26,Departure,MLH,Basel,11:00,Wizz Air,W6
2025-08-26,Arrival,AYT,Antalya,10:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-08-26,Departure,AYT,Antalya,11:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-08-26,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-26,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-27,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-08-27,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-08-27,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-08-27,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-08-27,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-08-27,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-08-27,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-08-27,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-08-28,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-08-28,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-08-28,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-08-28,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-08-29,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
