Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-06-01,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-06-01,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-06-01,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-01,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-02,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-02,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-02,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-02,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-02,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-06-02,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-06-02,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-06-02,Departure,SAW,Istanbul,14:35,A Jet Airlines,VF
2025-06-03,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-06-03,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-06-04,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-04,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-04,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-04,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-04,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-06-04,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-06-05,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-06-05,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-06-05,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-06-05,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-06-06,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-06-06,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-06,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-06,Departure,SAW,Istanbul,10:10,Pegasus Airlines,PC
2025-06-06,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-06-06,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-06-06,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-06-06,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-06-07,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-06-07,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-06-07,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-06-07,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-06-08,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-06-08,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-06-08,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-08,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-09,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-09,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-09,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-09,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-09,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-06-09,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-06-09,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-06-09,Departure,SAW,Istanbul,14:35,A Jet Airlines,VF
2025-06-10,Arrival,AYT,Antalya,08:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-06-10,Departure,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-06-10,Arrival,AYT,Antalya,10:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-06-10,Departure,AYT,Antalya,11:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-06-10,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-06-10,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-06-11,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-11,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-11,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-11,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-11,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-06-11,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-06-12,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-06-12,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-06-12,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-06-12,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-06-13,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-06-13,Arrival,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-06-13,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-13,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-13,Departure,AYT,Antalya,10:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-06-13,Departure,SAW,Istanbul,10:10,Pegasus Airlines,PC
2025-06-13,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
