Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2026-01-01,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-01,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-01,Arrival,MLH,Basel,11:40,Wizz Air,W6
2026-01-01,Departure,FMM,Memmingen,11:50,Wizz Air,W6
2026-01-01,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-01,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2026-01-01,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2026-01-01,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2026-01-02,Departure,CGN,Köln Bonn,06:15,Wizz Air,W6
2026-01-02,Arrival,CGN,Köln Bonn,11:00,Wizz Air,W6
2026-01-02,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2026-01-02,Arrival,FMM,Memmingen,15:20,Wizz Air,W6
2026-01-02,Departure,MST,Maastricht,16:40,Wizz Air,W6
2026-01-02,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2026-01-03,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-03,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-03,Arrival,MLH,Basel,11:40,Wizz Air,W6
2026-01-03,Departure,FMM,Memmingen,11:50,Wizz Air,W6
2026-01-03,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-03,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2026-01-03,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2026-01-03,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2026-01-03,Departure,MMX,Malmö-Sturup,16:25,Wizz Air,W6
2026-01-03,Arrival,MMX,Malmö-Sturup,21:30,Wizz Air,W6
2026-01-04,Departure,DTM,Dortmund,06:15,Wizz Air,W6
2026-01-04,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-04,Arrival,MLH,Basel,11:40,Wizz Air,W6
2026-01-04,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2026-01-04,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-04,Arrival,FMM,Memmingen,15:20,Wizz Air,W6
2026-01-04,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2026-01-04,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2026-01-05,Departure,CGN,Köln Bonn,06:15,Wizz Air,W6
