Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-11-01,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-11-01,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-11-01,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-01,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-11-01,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2025-11-01,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2025-11-02,Arrival,FMM,Memmingen,09:30,Wizz Air,W6
2025-11-02,Departure,FMM,Memmingen,10:00,Wizz Air,W6
2025-11-02,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-11-02,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-11-02,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-02,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-11-03,Arrival,FMM,Memmingen,10:30,Wizz Air,W6
2025-11-03,Departure,FMM,Memmingen,11:05,Wizz Air,W6
2025-11-03,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2025-11-03,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2025-11-04,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-11-04,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-11-04,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-04,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-11-06,Arrival,FMM,Memmingen,09:30,Wizz Air,W6
2025-11-06,Departure,FMM,Memmingen,10:00,Wizz Air,W6
2025-11-06,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-11-06,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-11-06,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-06,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-11-07,Arrival,FMM,Memmingen,10:30,Wizz Air,W6
2025-11-07,Departure,FMM,Memmingen,11:05,Wizz Air,W6
2025-11-08,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-11-08,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-11-08,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-08,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-11-08,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2025-11-08,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2025-11-09,Arrival,FMM,Memmingen,09:30,Wizz Air,W6
2025-11-09,Departure,FMM,Memmingen,10:00,Wizz Air,W6
2025-11-09,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-11-09,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-11-09,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-09,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-11-10,Arrival,FMM,Memmingen,10:30,Wizz Air,W6
2025-11-10,Departure,FMM,Memmingen,11:05,Wizz Air,W6
2025-11-10,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2025-11-10,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
