Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-12-01,Arrival,FMM,Memmingen,10:30,Wizz Air,W6
2025-12-01,Departure,FMM,Memmingen,11:05,Wizz Air,W6
2025-12-01,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2025-12-01,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2025-12-02,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-02,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-02,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-12-02,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-12-04,Arrival,FMM,Memmingen,09:30,Wizz Air,W6
2025-12-04,Departure,FMM,Memmingen,10:00,Wizz Air,W6
2025-12-04,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-12-04,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-12-05,Arrival,FMM,Memmingen,10:30,Wizz Air,W6
2025-12-05,Departure,FMM,Memmingen,11:05,Wizz Air,W6
2025-12-06,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-06,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-06,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-12-06,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-12-06,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2025-12-06,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2025-12-07,Arrival,FMM,Memmingen,09:30,Wizz Air,W6
2025-12-07,Departure,FMM,Memmingen,10:00,Wizz Air,W6
2025-12-07,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-12-07,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-12-08,Arrival,FMM,Memmingen,10:30,Wizz Air,W6
2025-12-08,Departure,FMM,Memmingen,11:05,Wizz Air,W6
2025-12-08,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2025-12-08,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2025-12-09,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-09,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-09,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-12-09,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-12-11,Arrival,FMM,Memmingen,09:30,Wizz Air,W6
2025-12-11,Departure,FMM,Memmingen,10:00,Wizz Air,W6
2025-12-11,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-12-11,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-12-12,Arrival,CGN,Köln,11:00,Wizz Air,W6
2025-12-12,Departure,CGN,Köln,06:15,Wizz Air,W6
2025-12-12,Arrival,FMM,Memmingen,15:25,Wizz Air,W6
2025-12-12,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2025-12-12,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2025-12-12,Departure,MST,Maastricht,16:40,Wizz Air,W6
2025-12-13,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2025-12-13,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2025-12-13,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-13,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-13,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2025-12-13,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2025-12-13,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2025-12-13,Departure,FMM,Memmingen,11:50,Wizz Air,W6
2025-12-13,Arrival,MMX,Malmö,21:30,Wizz Air,W6
2025-12-13,Departure,MMX,Malmö,16:25,Wizz Air,W6
2025-12-14,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2025-12-14,Departure,DTM,Dortmund,06:15,Wizz Air,W6
2025-12-14,Arrival,FMM,Memmingen,15:20,Wizz Air,W6
2025-12-14,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2025-12-14,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2025-12-14,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2025-12-15,Arrival,CGN,Köln,11:00,Wizz Air,W6
2025-12-15,Departure,CGN,Köln,06:15,Wizz Air,W6
2025-12-15,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2025-12-15,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2025-12-15,Arrival,FMM,Memmingen,15:30,Wizz Air,W6
2025-12-15,Departure,FMM,Memmingen,11:45,Wizz Air,W6
2025-12-15,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2025-12-15,Departure,MST,Maastricht,16:40,Wizz Air,W6
2025-12-16,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2025-12-16,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2025-12-16,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-16,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-16,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2025-12-16,Departure,FMM,Memmingen,12:05,Wizz Air,W6
2025-12-16,Arrival,MMX,Malmö,21:30,Wizz Air,W6
2025-12-16,Departure,MMX,Malmö,16:25,Wizz Air,W6
2025-12-17,Arrival,CGN,Köln,11:00,Wizz Air,W6
2025-12-17,Departure,CGN,Köln,06:15,Wizz Air,W6
2025-12-17,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-17,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-17,Arrival,FMM,Memmingen,15:25,Wizz Air,W6
2025-12-17,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2025-12-17,Arrival,MST,Maastricht,21:30,Wizz Air,W6
