Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-05-01,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-01,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-02,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-05-02,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-02,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-02,Departure,SAW,Istanbul,10:10,Pegasus Airlines,PC
2025-05-02,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-05-02,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-02,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-05-02,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-04,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-04,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-04,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-04,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-05,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-05,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-05,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-05,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-05,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-05,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-05,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-05-05,Departure,SAW,Istanbul,14:35,A Jet Airlines,VF
2025-05-07,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-07,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-07,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-07,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-07,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-07,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-08,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-08,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-09,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-05-09,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-09,Departure,SAW,Istanbul,09:20,Pegasus Airlines,PC
2025-05-09,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-09,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-05-09,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-09,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-05-09,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-11,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-11,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-11,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-11,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-12,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-12,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-12,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-12,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-12,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-12,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-12,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-05-12,Departure,SAW,Istanbul,14:05,A Jet Airlines,VF
2025-05-14,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-14,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-14,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-14,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-14,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-14,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-15,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-15,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-16,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-05-16,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-16,Departure,SAW,Istanbul,09:20,Pegasus Airlines,PC
2025-05-16,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-16,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-05-16,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-16,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-05-16,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-18,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-18,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-18,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-18,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-19,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-19,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-19,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-19,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-19,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-19,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-19,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-05-19,Departure,SAW,Istanbul,14:05,A Jet Airlines,VF
2025-05-21,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-21,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-21,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-21,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-21,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-21,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-22,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-22,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-23,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-05-23,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-23,Departure,SAW,Istanbul,09:20,Pegasus Airlines,PC
2025-05-23,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-23,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-05-23,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-23,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-05-23,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-24,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-05-24,Departure,DTM,Dortmund,12:15,Wizz Air,W6
2025-05-25,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-25,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-25,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-25,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-26,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-26,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-26,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-26,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-26,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-26,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-26,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-05-26,Departure,SAW,Istanbul,14:05,A Jet Airlines,VF
2025-05-27,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-05-27,Departure,DTM,Dortmund,12:15,Wizz Air,W6
2025-05-28,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-28,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-28,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-05-28,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-05-28,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-28,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-29,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-29,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-29,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-05-29,Departure,DTM,Dortmund,12:15,Wizz Air,W6
2025-05-30,Arrival,SAW,Istanbul,08:50,Pegasus Airlines,PC
2025-05-30,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-05-30,Departure,SAW,Istanbul,09:20,Pegasus Airlines,PC
2025-05-30,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-05-30,Arrival,DTM,Dortmund,11:55,Wizz Air,W6
2025-05-30,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-05-30,Departure,DTM,Dortmund,12:25,Wizz Air,W6
2025-05-30,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-05-31,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-05-31,Departure,DTM,Dortmund,12:15,Wizz Air,W6
